Seed,R,Tol,Convergence,Loss,Accuracy
15795.0,8.0,0.01,5.0,1.4705316738296579,0.6796875
15795.0,8.0,0.001,22.0,1.315580968378355,0.640625
15795.0,8.0,0.0001,39.0,1.061877815664257,0.68359375
15795.0,16.0,0.01,2.0,2.4953461164466195,0.546875
15795.0,16.0,0.001,12.0,0.9747987561356701,0.5703125
15795.0,16.0,0.0001,128.0,0.7044361316103844,0.796875
15795.0,32.0,0.01,18.0,1.3682577902847721,0.5390625
15795.0,32.0,0.001,28.0,0.6936067655942957,0.8359375
15795.0,32.0,0.0001,28.0,0.6833851435104046,0.83984375
15795.0,64.0,0.01,7.0,0.5475643902445668,0.83203125
15795.0,64.0,0.001,10.0,0.530062653957281,0.83203125
15795.0,64.0,0.0001,123.0,0.4536763113645328,0.88671875
15795.0,128.0,0.01,4.0,0.7312708355282798,0.69921875
15795.0,128.0,0.001,34.0,0.5860083963795357,0.8515625
15795.0,128.0,0.0001,62.0,0.5436874250608512,0.90234375
15795.0,256.0,0.01,7.0,0.6424799083615231,0.84765625
15795.0,256.0,0.001,43.0,0.36840550429744834,0.93359375
15795.0,256.0,0.0001,78.0,0.37631573260415546,0.9375
15795.0,512.0,0.01,9.0,0.7051199286229233,0.85546875
15795.0,512.0,0.001,15.0,0.5177278259085468,0.87109375
15795.0,512.0,0.0001,88.0,0.3825016429923401,0.9296875
15795.0,1024.0,0.01,2.0,1.0270231894314406,0.56640625
15795.0,1024.0,0.001,50.0,0.4718907201833115,0.93359375
15795.0,1024.0,0.0001,196.0,0.38039273213007196,0.92578125
15795.0,2048.0,0.01,16.0,0.5693319785965261,0.8828125
15795.0,2048.0,0.001,16.0,0.5688020007589769,0.8828125
15795.0,2048.0,0.0001,16.0,0.5741440333805596,0.8828125
15795.0,4096.0,0.01,5.0,1.0655498097860105,0.51953125
15795.0,4096.0,0.001,34.0,0.4552642590484753,0.87109375
15795.0,4096.0,0.0001,98.0,0.4131497429526847,0.9140625
860.0,8.0,0.01,3.0,3.095898632735503,0.5859375
860.0,8.0,0.001,27.0,1.904537822555425,0.578125
860.0,8.0,0.0001,234.0,1.3588495141772436,0.63671875
860.0,16.0,0.01,9.0,0.7803887841833298,0.7578125
860.0,16.0,0.001,32.0,0.8678220112725783,0.71875
860.0,16.0,0.0001,136.0,0.6418225076567645,0.78515625
860.0,32.0,0.01,8.0,0.6913150395780657,0.76953125
860.0,32.0,0.001,48.0,0.47307780329644095,0.87109375
860.0,32.0,0.0001,62.0,0.45272526805433105,0.890625
860.0,64.0,0.01,10.0,1.4043908470814304,0.6796875
