Seed,M,Tol,Convergence,Loss,Accuracy
15795.0,64.0,0.01,14.0,0.49426607085951857,0.9375
15795.0,64.0,0.001,53.0,0.3850611679316453,0.9375
15795.0,64.0,0.0001,256.0,0.35320037784207525,0.953125
15795.0,128.0,0.01,5.0,0.6071227197208166,0.859375
15795.0,128.0,0.001,13.0,0.4735028173709575,0.9296875
15795.0,128.0,0.0001,211.0,0.35651212826350964,0.9453125
15795.0,256.0,0.01,7.0,0.45694907643644533,0.9375
15795.0,256.0,0.001,10.0,0.38476315341994416,0.94140625
15795.0,256.0,0.0001,15.0,0.40696582151493754,0.95703125
15795.0,512.0,0.01,7.0,0.593116501450872,0.822265625
15795.0,512.0,0.001,15.0,0.5371562875878203,0.859375
15795.0,512.0,0.0001,49.0,0.3511607364692223,0.939453125
15795.0,1024.0,0.01,11.0,0.5058335003779123,0.96875
15795.0,1024.0,0.001,69.0,0.4111219429240056,0.8779296875
15795.0,1024.0,0.0001,225.0,0.37809256686782333,0.9326171875
15795.0,2048.0,0.01,5.0,0.7524821043851083,0.873046875
15795.0,2048.0,0.001,24.0,0.6684252795664856,0.7568359375
15795.0,2048.0,0.0001,143.0,0.4340148647893397,0.89892578125
860.0,64.0,0.01,9.0,0.43820534858697247,0.875
860.0,64.0,0.001,14.0,0.42593168082620914,0.890625
860.0,64.0,0.0001,92.0,0.4099505871062876,0.890625
860.0,128.0,0.01,9.0,1.1621682619467841,0.5859375
860.0,128.0,0.001,16.0,0.9223173072470408,0.6953125
860.0,128.0,0.0001,79.0,0.43670560127136865,0.90625
860.0,256.0,0.01,3.0,1.2112811184928456,0.5
860.0,256.0,0.001,3.0,1.2112811184928456,0.5
860.0,256.0,0.0001,48.0,0.3917457374770872,0.89453125
860.0,512.0,0.01,3.0,1.520668685164765,0.3671875
860.0,512.0,0.001,9.0,1.4247434838516704,0.283203125
860.0,512.0,0.0001,37.0,0.48317811523369575,0.87890625
860.0,1024.0,0.01,3.0,1.1065873146478031,0.5126953125
860.0,1024.0,0.001,13.0,0.40993690421948903,0.89453125
860.0,1024.0,0.0001,67.0,0.3412195805242905,0.931640625
860.0,2048.0,0.01,7.0,0.4133724014905996,0.8984375
860.0,2048.0,0.001,24.0,0.3934706930278947,0.9091796875
860.0,2048.0,0.0001,56.0,0.38889356219744575,0.91015625
76820.0,64.0,0.01,13.0,0.6856801312194373,0.875
76820.0,64.0,0.001,37.0,0.5333122138378877,0.84375
76820.0,64.0,0.0001,86.0,0.4701410311264978,0.90625
76820.0,128.0,0.01,27.0,0.6765269129963294,0.7578125
76820.0,128.0,0.001,27.0,0.6765269129963294,0.7578125
76820.0,128.0,0.0001,315.0,0.5034456477163904,0.8203125
76820.0,256.0,0.01,16.0,0.523482965851402,0.85546875
76820.0,256.0,0.001,33.0,0.432889507761399,0.9140625
76820.0,256.0,0.0001,99.0,0.4451994102528131,0.8671875
76820.0,512.0,0.01,11.0,0.49514397535198246,0.9296875
76820.0,512.0,0.001,28.0,0.3899657999643952,0.900390625
76820.0,512.0,0.0001,38.0,0.4003536936797818,0.96484375
76820.0,1024.0,0.01,5.0,0.6344100272536894,0.748046875
