Seed,d,Tol,Convergence,Loss,Accuracy
15795.0,2.0,0.01,3.0,0.774384118694567,0.7109375
15795.0,2.0,0.001,241.0,0.5853594829614657,0.91015625
15795.0,2.0,0.0001,465.0,0.5792474110545303,0.859375
15795.0,4.0,0.01,15.0,0.7473281268721903,0.83984375
15795.0,4.0,0.001,32.0,0.62397034236114,0.84375
15795.0,4.0,0.0001,103.0,0.5071253809294805,0.84765625
15795.0,8.0,0.01,9.0,0.4470939515091234,0.91796875
15795.0,8.0,0.001,9.0,0.4470939515091234,0.91796875
15795.0,8.0,0.0001,84.0,0.3935799746729841,0.91015625
15795.0,16.0,0.01,3.0,1.255456188381758,0.50390625
15795.0,16.0,0.001,56.0,0.7824784102717584,0.7578125
15795.0,16.0,0.0001,56.0,0.7824784102717584,0.7578125
15795.0,32.0,0.01,5.0,0.9664094291150888,0.5625
15795.0,32.0,0.001,22.0,1.0635408094419898,0.6796875
15795.0,32.0,0.0001,126.0,0.5005708100967377,0.87109375
860.0,2.0,0.01,27.0,0.5779240008916358,0.88671875
860.0,2.0,0.001,88.0,0.5783386795998671,0.8984375
860.0,2.0,0.0001,129.0,0.5839449256183729,0.8984375
860.0,4.0,0.01,12.0,0.5615389486710356,0.87109375
860.0,4.0,0.001,28.0,0.4908151848915718,0.94921875
860.0,4.0,0.0001,28.0,0.4908151848915718,0.94921875
860.0,8.0,0.01,2.0,1.0294258430945613,0.53515625
860.0,8.0,0.001,27.0,0.6737511709863517,0.75
860.0,8.0,0.0001,52.0,0.5678275720977185,0.8671875
860.0,16.0,0.01,17.0,0.893913798278779,0.671875
860.0,16.0,0.001,35.0,0.4613528041196252,0.92578125
860.0,16.0,0.0001,217.0,0.4677460642098988,0.9140625
860.0,32.0,0.01,14.0,0.6225343158717835,0.81640625
860.0,32.0,0.001,20.0,0.5542574436506946,0.82421875
860.0,32.0,0.0001,34.0,0.4759807604987927,0.91796875
76820.0,2.0,0.01,45.0,0.5390346020106036,0.88671875
76820.0,2.0,0.001,87.0,0.538840247569292,0.8828125
76820.0,2.0,0.0001,401.0,0.539969155940347,0.890625
76820.0,4.0,0.01,7.0,0.66803903632015,0.75
76820.0,4.0,0.001,15.0,0.5110583440075582,0.921875
76820.0,4.0,0.0001,65.0,0.2815802293395326,0.95703125
76820.0,8.0,0.01,38.0,1.181007828460955,0.37109375
76820.0,8.0,0.001,74.0,0.763626345306722,0.71484375
76820.0,8.0,0.0001,321.0,0.4777320668924868,0.921875
76820.0,16.0,0.01,12.0,0.9823641971565352,0.57421875
76820.0,16.0,0.001,44.0,0.8163712847559249,0.7109375
76820.0,16.0,0.0001,93.0,0.7645722789578437,0.8671875
76820.0,32.0,0.01,4.0,0.8558627614708365,0.66796875
