Seed,d,Tol,Convergence,Loss,Accuracy
15795.0,2.0,0.01,39.0,0.5304637490783493,0.88671875
15795.0,2.0,0.001,71.0,0.5459400336349558,0.875
15795.0,2.0,0.0001,268.0,0.5222408153225755,0.8984375
15795.0,4.0,0.01,12.0,0.5110221268138928,0.890625
15795.0,4.0,0.001,53.0,0.4222001533631057,0.96875
15795.0,4.0,0.0001,109.0,0.443963949274042,0.9296875
15795.0,8.0,0.01,15.0,0.4390630889069776,0.90625
15795.0,8.0,0.001,42.0,0.3942877434124471,0.94921875
15795.0,8.0,0.0001,80.0,0.3246067589540558,0.9453125
15795.0,16.0,0.01,9.0,1.2453831805174551,0.35546875
15795.0,16.0,0.001,23.0,0.8555836465850268,0.7109375
15795.0,16.0,0.0001,194.0,0.6112049811025705,0.8984375
15795.0,32.0,0.01,16.0,1.277780576757893,0.46484375
15795.0,32.0,0.001,45.0,0.5811074639997068,0.86328125
15795.0,32.0,0.0001,202.0,0.5395421758764145,0.890625
860.0,2.0,0.01,42.0,0.5297662363503751,0.9296875
860.0,2.0,0.001,124.0,0.545217286775816,0.94140625
860.0,2.0,0.0001,256.0,0.5344324417071453,0.91796875
860.0,4.0,0.01,18.0,0.4321721072599027,0.97265625
860.0,4.0,0.001,61.0,0.2917318064451139,0.9921875
860.0,4.0,0.0001,96.0,0.2571655447874847,0.9921875
860.0,8.0,0.01,8.0,0.735420751221081,0.87890625
860.0,8.0,0.001,39.0,0.3492892139543951,0.921875
860.0,8.0,0.0001,92.0,0.327699460629885,0.95703125
860.0,16.0,0.01,13.0,0.7250827598862415,0.80078125
860.0,16.0,0.001,13.0,0.7250827598862415,0.80078125
860.0,16.0,0.0001,119.0,0.4714936378074252,0.8828125
860.0,32.0,0.01,9.0,0.5037365132357817,0.83203125
860.0,32.0,0.001,14.0,0.7488936378950932,0.79296875
860.0,32.0,0.0001,15.0,0.7488783107124679,0.79296875
76820.0,2.0,0.01,10.0,0.4842174399891895,0.92578125
76820.0,2.0,0.001,59.0,0.4886190201574644,0.94921875
76820.0,2.0,0.0001,59.0,0.4886190201574644,0.94921875
76820.0,4.0,0.01,7.0,0.4873912679328379,0.86328125
76820.0,4.0,0.001,7.0,0.4873912679328379,0.86328125
76820.0,4.0,0.0001,48.0,0.2857963983923226,0.9140625
76820.0,8.0,0.01,20.0,0.4864593307147532,0.90234375
76820.0,8.0,0.001,31.0,0.5527794988293735,0.859375
76820.0,8.0,0.0001,111.0,0.44419218571477,0.94921875
76820.0,16.0,0.01,7.0,1.4410359763803484,0.45703125
76820.0,16.0,0.001,23.0,0.6031596277748151,0.82421875
76820.0,16.0,0.0001,300.0,0.5733456223479433,0.81640625
76820.0,32.0,0.01,15.0,1.00775789932962,0.62109375
76820.0,32.0,0.001,15.0,1.00775789932962,0.62109375
76820.0,32.0,0.0001,118.0,0.645488210681844,0.8203125
54886.0,2.0,0.01,12.0,0.7870964507235982,0.703125
54886.0,2.0,0.001,32.0,0.703140242411533,0.9765625
54886.0,2.0,0.0001,226.0,0.663877535697396,0.85546875
54886.0,4.0,0.01,16.0,0.4957225588769569,0.90625
54886.0,4.0,0.001,87.0,0.4453175796059319,0.953125
54886.0,4.0,0.0001,194.0,0.433615389238507,0.94140625
54886.0,8.0,0.01,27.0,0.9962132695041348,0.6875
54886.0,8.0,0.001,129.0,0.6818373059874632,0.85546875
54886.0,8.0,0.0001,416.0,0.558018620969734,0.8671875
54886.0,16.0,0.01,24.0,0.5798579634824723,0.953125
54886.0,16.0,0.001,64.0,0.6389757941929308,0.80859375
