seed,M,C,epsilon,shots
34753.0,4.0,10.0,0.3,445.0
932.0,4.0,10.0,0.3,2.0
61325.0,4.0,10.0,0.3,640.0
85987.0,4.0,10.0,0.3,3.0
53492.0,4.0,10.0,0.3,282.0
50778.0,4.0,10.0,0.3,2.0
48598.0,4.0,10.0,0.3,2.0
61723.0,4.0,10.0,0.3,7.0
97134.0,4.0,10.0,0.3,3.0
54509.0,4.0,10.0,0.3,3.0
34753.0,8.0,10.0,0.3,371.0
932.0,8.0,10.0,0.3,54.0
61325.0,8.0,10.0,0.3,50.0
85987.0,8.0,10.0,0.3,113.0
53492.0,8.0,10.0,0.3,149.0
50778.0,8.0,10.0,0.3,78.0
48598.0,8.0,10.0,0.3,14.0
61723.0,8.0,10.0,0.3,371.0
97134.0,8.0,10.0,0.3,113.0
54509.0,8.0,10.0,0.3,65.0
34753.0,16.0,10.0,0.3,2290.0
932.0,16.0,10.0,0.3,921.0
61325.0,16.0,10.0,0.3,768.0
85987.0,16.0,10.0,0.3,2509.0
53492.0,16.0,10.0,0.3,2748.0
50778.0,16.0,10.0,0.3,3010.0
48598.0,16.0,10.0,0.3,1591.0
61723.0,16.0,10.0,0.3,584.0
97134.0,16.0,10.0,0.3,1211.0
54509.0,16.0,10.0,0.3,2091.0
34753.0,24.0,10.0,0.3,2509.0
932.0,24.0,10.0,0.3,8192.0
61325.0,24.0,10.0,0.3,-1.0
85987.0,24.0,10.0,0.3,5196.0
53492.0,24.0,10.0,0.3,6234.0
50778.0,24.0,10.0,0.3,2290.0
48598.0,24.0,10.0,0.3,8192.0
61723.0,24.0,10.0,0.3,-1.0
97134.0,24.0,10.0,0.3,3010.0
54509.0,24.0,10.0,0.3,-1.0
34753.0,32.0,10.0,0.3,3296.0
932.0,32.0,10.0,0.3,6234.0
61325.0,32.0,10.0,0.3,-1.0
85987.0,32.0,10.0,0.3,3296.0
53492.0,32.0,10.0,0.3,8192.0
50778.0,32.0,10.0,0.3,5692.0
48598.0,32.0,10.0,0.3,4331.0
61723.0,32.0,10.0,0.3,-1.0
97134.0,32.0,10.0,0.3,8192.0
