seed,M,C,epsilon,shots
34753.0,4.0,10.0,0.3,18.0
932.0,4.0,10.0,0.3,2.0
61325.0,4.0,10.0,0.3,72.0
85987.0,4.0,10.0,0.3,2.0
53492.0,4.0,10.0,0.3,2.0
50778.0,4.0,10.0,0.3,2.0
48598.0,4.0,10.0,0.3,2.0
61723.0,4.0,10.0,0.3,4.0
97134.0,4.0,10.0,0.3,3.0
54509.0,4.0,10.0,0.3,4.0
34753.0,8.0,10.0,0.3,257.0
932.0,8.0,10.0,0.3,72.0
61325.0,8.0,10.0,0.3,124.0
85987.0,8.0,10.0,0.3,65.0
53492.0,8.0,10.0,0.3,54.0
50778.0,8.0,10.0,0.3,78.0
48598.0,8.0,10.0,0.3,29.0
61723.0,8.0,10.0,0.3,72.0
97134.0,8.0,10.0,0.3,371.0
54509.0,8.0,10.0,0.3,445.0
34753.0,16.0,10.0,0.3,2091.0
932.0,16.0,10.0,0.3,65.0
61325.0,16.0,10.0,0.3,768.0
85987.0,16.0,10.0,0.3,2091.0
53492.0,16.0,10.0,0.3,3010.0
50778.0,16.0,10.0,0.3,768.0
48598.0,16.0,10.0,0.3,282.0
61723.0,16.0,10.0,0.3,701.0
97134.0,16.0,10.0,0.3,2509.0
54509.0,16.0,10.0,0.3,2748.0
34753.0,24.0,10.0,0.3,640.0
932.0,24.0,10.0,0.3,113.0
61325.0,24.0,10.0,0.3,1211.0
85987.0,24.0,10.0,0.3,3296.0
53492.0,24.0,10.0,0.3,1909.0
50778.0,24.0,10.0,0.3,3010.0
48598.0,24.0,10.0,0.3,3955.0
61723.0,24.0,10.0,0.3,1453.0
97134.0,24.0,10.0,0.3,309.0
54509.0,24.0,10.0,0.3,4744.0
34753.0,4.0,10.0,0.2,18.0
932.0,4.0,10.0,0.2,2.0
61325.0,4.0,10.0,0.2,72.0
85987.0,4.0,10.0,0.2,2.0
53492.0,4.0,10.0,0.2,3.0
50778.0,4.0,10.0,0.2,2.0
48598.0,4.0,10.0,0.2,2.0
61723.0,4.0,10.0,0.2,12.0
97134.0,4.0,10.0,0.2,3.0
54509.0,4.0,10.0,0.2,4.0
34753.0,8.0,10.0,0.2,282.0
932.0,8.0,10.0,0.2,309.0
61325.0,8.0,10.0,0.2,179.0
85987.0,8.0,10.0,0.2,136.0
53492.0,8.0,10.0,0.2,136.0
50778.0,8.0,10.0,0.2,86.0
48598.0,8.0,10.0,0.2,31.0
61723.0,8.0,10.0,0.2,86.0
97134.0,8.0,10.0,0.2,445.0
54509.0,8.0,10.0,0.2,445.0
34753.0,16.0,10.0,0.2,4331.0
932.0,16.0,10.0,0.2,214.0
61325.0,16.0,10.0,0.2,-1.0
85987.0,16.0,10.0,0.2,2748.0
53492.0,16.0,10.0,0.2,3955.0
50778.0,16.0,10.0,0.2,1009.0
48598.0,16.0,10.0,0.2,533.0
61723.0,16.0,10.0,0.2,2509.0
97134.0,16.0,10.0,0.2,4744.0
54509.0,16.0,10.0,0.2,3610.0
34753.0,24.0,10.0,0.2,701.0
932.0,24.0,10.0,0.2,1211.0
61325.0,24.0,10.0,0.2,-1.0
85987.0,24.0,10.0,0.2,3955.0
53492.0,24.0,10.0,0.2,5196.0
50778.0,24.0,10.0,0.2,3955.0
48598.0,24.0,10.0,0.2,5692.0
61723.0,24.0,10.0,0.2,2091.0
97134.0,24.0,10.0,0.2,1591.0
54509.0,24.0,10.0,0.2,6828.0
34753.0,4.0,10.0,0.1,65.0
932.0,4.0,10.0,0.1,2.0
