M,seed,0.0001,0.0005,0.001,0.005,0.01
16.0,102.0,171798691840.0,8589934592.0,1073741824.0,67108864.0,16777216.0
16.0,435.0,171798691840.0,171798691840.0,4294967296.0,67108864.0,33554432.0
16.0,860.0,1717986918400.0,2147483648.0,268435456.0,33554432.0,8388608.0
16.0,270.0,1717986918400.0,8589934592.0,8589934592.0,33554432.0,8388608.0
16.0,106.0,1717986918400.0,4294967296.0,1073741824.0,67108864.0,16777216.0
16.0,71.0,1717986918400.0,17179869184.0,4294967296.0,134217728.0,33554432.0
16.0,700.0,1717986918400.0,171798691840.0,2147483648.0,134217728.0,67108864.0
16.0,20.0,171798691840.0,2147483648.0,536870912.0,33554432.0,8388608.0
16.0,614.0,171798691840.0,1073741824.0,536870912.0,2097152.0,1048576.0
16.0,121.0,1.7179869184e+16,1073741824.0,268435456.0,16777216.0,4194304.0
32.0,102.0,171798691840.0,8589934592.0,2147483648.0,67108864.0,33554432.0
32.0,435.0,171798691840.0,17179869184.0,2147483648.0,67108864.0,33554432.0
32.0,860.0,1717986918400.0,1717986918400.0,2147483648.0,134217728.0,16777216.0
32.0,270.0,1717986918400.0,1717986918400.0,1073741824.0,134217728.0,8388608.0
32.0,106.0,171798691840.0,171798691840.0,2147483648.0,67108864.0,16777216.0
32.0,71.0,1717986918400.0,1717986918400.0,1073741824.0,67108864.0,16777216.0
32.0,700.0,1717986918400.0,17179869184.0,4294967296.0,134217728.0,8388608.0
32.0,20.0,17179869184000.0,17179869184000.0,4294967296.0,134217728.0,33554432.0
32.0,614.0,171798691840.0,4294967296.0,1073741824.0,33554432.0,8388608.0
32.0,121.0,171798691840.0,8589934592.0,1073741824.0,33554432.0,16777216.0
64.0,102.0,17179869184000.0,17179869184000.0,1717986918400.0,536870912.0,134217728.0
64.0,435.0,1.7179869184e+21,1717986918400.0,8589934592.0,536870912.0,67108864.0
64.0,860.0,1.7179869184e+19,1.7179869184e+19,17179869184000.0,1073741824.0,536870912.0
64.0,270.0,1.7179869184e+21,171798691840.0,171798691840.0,2147483648.0,134217728.0
64.0,106.0,1717986918400.0,1717986918400.0,1717986918400.0,1073741824.0,268435456.0
128.0,102.0,1.7179869184e+18,1.7179869184e+16,171798691840.0,4294967296.0,536870912.0
128.0,435.0,1.7179869184e+21,1.7179869184e+16,171798691840.0,1073741824.0,536870912.0
128.0,860.0,1.7179869184e+18,1.7179869184e+18,1717986918400.0,17179869184.0,536870912.0
128.0,270.0,1.7179869184e+17,1.7179869184e+17,171798691840.0,4294967296.0,1073741824.0
128.0,106.0,1.7179869184e+21,17179869184000.0,171798691840.0,4294967296.0,1073741824.0
