M,seed,0.001,0.01,0.1
16.0,4363.0,17179869184.0,268435456.0,2097152.0
16.0,9385.0,68719476736.0,536870912.0,4194304.0
16.0,6684.0,34359738368.0,268435456.0,4194304.0
16.0,4645.0,68719476736.0,536870912.0,2097152.0
16.0,4473.0,34359738368.0,268435456.0,4194304.0
16.0,7744.0,68719476736.0,536870912.0,1048576.0
16.0,1536.0,34359738368.0,268435456.0,2097152.0
16.0,3247.0,34359738368.0,536870912.0,4194304.0
16.0,1642.0,68719476736.0,536870912.0,8388608.0
16.0,7113.0,137438953472.0,1073741824.0,16777216.0
16.0,1811.0,68719476736.0,536870912.0,8388608.0
16.0,4955.0,34359738368.0,268435456.0,4194304.0
16.0,4289.0,68719476736.0,1073741824.0,8388608.0
16.0,8168.0,34359738368.0,268435456.0,2097152.0
16.0,3692.0,34359738368.0,268435456.0,4194304.0
16.0,6909.0,137438953472.0,2147483648.0,4194304.0
16.0,8314.0,68719476736.0,536870912.0,8388608.0
16.0,1996.0,68719476736.0,536870912.0,4194304.0
16.0,8821.0,34359738368.0,536870912.0,2097152.0
16.0,9640.0,68719476736.0,536870912.0,4194304.0
16.0,2256.0,34359738368.0,536870912.0,8388608.0
16.0,9189.0,137438953472.0,1073741824.0,8388608.0
16.0,8884.0,68719476736.0,536870912.0,8388608.0
16.0,1270.0,17179869184.0,134217728.0,1048576.0
16.0,1604.0,137438953472.0,1073741824.0,16777216.0
16.0,8329.0,137438953472.0,2147483648.0,33554432.0
16.0,7933.0,68719476736.0,536870912.0,2097152.0
16.0,1889.0,17179869184.0,536870912.0,2097152.0
16.0,7561.0,68719476736.0,536870912.0,8388608.0
16.0,1397.0,17179869184.0,134217728.0,1048576.0
16.0,2394.0,137438953472.0,1073741824.0,4194304.0
16.0,5509.0,34359738368.0,536870912.0,2097152.0
16.0,6992.0,34359738368.0,1073741824.0,8388608.0
16.0,5217.0,34359738368.0,268435456.0,2097152.0
16.0,5415.0,137438953472.0,1073741824.0,16777216.0
16.0,2882.0,17179869184.0,268435456.0,8388608.0
16.0,9025.0,34359738368.0,536870912.0,4194304.0
16.0,7794.0,68719476736.0,536870912.0,4194304.0
16.0,6391.0,274877906944.0,4294967296.0,33554432.0
16.0,7669.0,17179869184.0,268435456.0,2097152.0
16.0,915.0,274877906944.0,2147483648.0,16777216.0
16.0,8411.0,137438953472.0,1073741824.0,16777216.0
16.0,5442.0,68719476736.0,536870912.0,4194304.0
16.0,3872.0,34359738368.0,268435456.0,4194304.0
16.0,4403.0,34359738368.0,536870912.0,4194304.0
16.0,4745.0,137438953472.0,1073741824.0,16777216.0
16.0,6288.0,137438953472.0,1073741824.0,4194304.0
16.0,675.0,137438953472.0,1073741824.0,16777216.0
16.0,7545.0,137438953472.0,1073741824.0,8388608.0
16.0,2264.0,68719476736.0,1073741824.0,8388608.0
16.0,6482.0,8589934592.0,134217728.0,4194304.0
16.0,8976.0,137438953472.0,1073741824.0,2097152.0
16.0,6803.0,34359738368.0,536870912.0,4194304.0
16.0,3652.0,68719476736.0,536870912.0,4194304.0
16.0,4433.0,137438953472.0,1073741824.0,8388608.0
16.0,4616.0,68719476736.0,1073741824.0,8388608.0
16.0,9197.0,17179869184.0,134217728.0,1048576.0
16.0,5089.0,68719476736.0,536870912.0,8388608.0
16.0,7293.0,34359738368.0,268435456.0,2097152.0
16.0,7403.0,34359738368.0,268435456.0,4194304.0
16.0,3994.0,34359738368.0,268435456.0,4194304.0
16.0,3679.0,137438953472.0,536870912.0,2097152.0
16.0,7663.0,137438953472.0,1073741824.0,16777216.0
16.0,761.0,34359738368.0,268435456.0,4194304.0
16.0,6366.0,137438953472.0,2147483648.0,16777216.0
16.0,6823.0,137438953472.0,268435456.0,4194304.0
16.0,8224.0,34359738368.0,268435456.0,4194304.0
16.0,851.0,68719476736.0,536870912.0,4194304.0
16.0,2750.0,17179869184.0,1073741824.0,16777216.0
16.0,971.0,17179869184.0,134217728.0,2097152.0
16.0,9654.0,34359738368.0,268435456.0,4194304.0
16.0,7536.0,34359738368.0,268435456.0,2097152.0
16.0,436.0,68719476736.0,536870912.0,8388608.0
16.0,8505.0,34359738368.0,536870912.0,8388608.0
16.0,6965.0,8589934592.0,134217728.0,2097152.0
16.0,4348.0,68719476736.0,536870912.0,4194304.0
16.0,8528.0,34359738368.0,536870912.0,2097152.0
16.0,1937.0,68719476736.0,536870912.0,8388608.0
16.0,3621.0,68719476736.0,536870912.0,4194304.0
16.0,634.0,8589934592.0,134217728.0,8388608.0
16.0,933.0,34359738368.0,536870912.0,4194304.0
16.0,4963.0,137438953472.0,2147483648.0,16777216.0
16.0,9670.0,8589934592.0,268435456.0,2097152.0
16.0,4346.0,274877906944.0,2147483648.0,33554432.0
16.0,3119.0,34359738368.0,268435456.0,4194304.0
16.0,8041.0,68719476736.0,536870912.0,4194304.0
16.0,6278.0,17179869184.0,268435456.0,2097152.0
