M,seed,0.001,0.005,0.01
16.0,102.0,4294967296.0,67108864.0,2097152.0
16.0,435.0,2147483648.0,33554432.0,16777216.0
16.0,860.0,1073741824.0,8388608.0,2097152.0
16.0,270.0,536870912.0,33554432.0,8388608.0
16.0,106.0,268435456.0,16777216.0,4194304.0
16.0,71.0,2147483648.0,33554432.0,8388608.0
16.0,700.0,268435456.0,16777216.0,4194304.0
16.0,20.0,268435456.0,16777216.0,4194304.0
16.0,614.0,536870912.0,8388608.0,2097152.0
16.0,121.0,268435456.0,8388608.0,1048576.0
32.0,102.0,536870912.0,33554432.0,4194304.0
32.0,435.0,1073741824.0,33554432.0,8388608.0
32.0,860.0,536870912.0,33554432.0,8388608.0
32.0,270.0,536870912.0,8388608.0,2097152.0
32.0,106.0,536870912.0,16777216.0,4194304.0
32.0,71.0,268435456.0,16777216.0,2097152.0
32.0,700.0,536870912.0,16777216.0,2097152.0
32.0,20.0,2147483648.0,16777216.0,2097152.0
32.0,614.0,1073741824.0,16777216.0,4194304.0
32.0,121.0,1073741824.0,33554432.0,8388608.0
64.0,102.0,8589934592.0,536870912.0,33554432.0
64.0,435.0,17179869184.0,536870912.0,134217728.0
64.0,860.0,68719476736.0,536870912.0,134217728.0
64.0,270.0,34359738368.0,536870912.0,134217728.0
64.0,106.0,8589934592.0,134217728.0,67108864.0
64.0,71.0,17179869184.0,1073741824.0,268435456.0
64.0,700.0,68719476736.0,536870912.0,134217728.0
64.0,20.0,34359738368.0,536870912.0,134217728.0
64.0,614.0,274877906944.0,536870912.0,134217728.0
64.0,121.0,8589934592.0,536870912.0,33554432.0
128.0,102.0,68719476736.0,2147483648.0,536870912.0
128.0,435.0,274877906944.0,2147483648.0,536870912.0
128.0,860.0,17179869184.0,1073741824.0,536870912.0
128.0,270.0,34359738368.0,2147483648.0,536870912.0
128.0,106.0,1099511627776.0,2147483648.0,536870912.0
128.0,71.0,68719476736.0,4294967296.0,1073741824.0
128.0,700.0,34359738368.0,1073741824.0,268435456.0
128.0,20.0,68719476736.0,4294967296.0,1073741824.0
128.0,614.0,137438953472.0,4294967296.0,1073741824.0
128.0,121.0,137438953472.0,2147483648.0,1073741824.0
256.0,102.0,34359738368.0,2147483648.0,536870912.0
256.0,435.0,137438953472.0,8589934592.0,536870912.0
256.0,860.0,137438953472.0,4294967296.0,2147483648.0
256.0,270.0,549755813888.0,8589934592.0,2147483648.0
256.0,106.0,549755813888.0,8589934592.0,268435456.0
256.0,71.0,34359738368.0,2147483648.0,536870912.0
256.0,700.0,274877906944.0,8589934592.0,4294967296.0
256.0,20.0,68719476736.0,4294967296.0,536870912.0
256.0,614.0,137438953472.0,4294967296.0,268435456.0
256.0,121.0,549755813888.0,8589934592.0,536870912.0
512.0,102.0,1.8014398509481984e+16,8589934592.0,2147483648.0
512.0,435.0,4398046511104.0,274877906944.0,2147483648.0
512.0,860.0,1099511627776.0,8589934592.0,4294967296.0
512.0,270.0,4503599627370496.0,68719476736.0,4294967296.0
512.0,106.0,2199023255552.0,17179869184.0,2147483648.0
512.0,71.0,274877906944.0,8589934592.0,4294967296.0
512.0,700.0,3.6893488147419103e+19,137438953472.0,4294967296.0
512.0,20.0,3.6893488147419103e+19,2147483648.0,1073741824.0
512.0,614.0,562949953421312.0,4294967296.0,1073741824.0
512.0,121.0,2251799813685248.0,68719476736.0,536870912.0
1024.0,102.0,549755813888.0,17179869184.0,536870912.0
1024.0,435.0,1099511627776.0,17179869184.0,2147483648.0
1024.0,860.0,274877906944.0,34359738368.0,1073741824.0
1024.0,270.0,549755813888.0,68719476736.0,4294967296.0
1024.0,106.0,2199023255552.0,34359738368.0,4294967296.0
1024.0,71.0,137438953472.0,17179869184.0,536870912.0
1024.0,700.0,2199023255552.0,8589934592.0,4294967296.0
1024.0,20.0,1099511627776.0,68719476736.0,2147483648.0
1024.0,614.0,137438953472.0,4294967296.0,4294967296.0
1024.0,121.0,137438953472.0,8589934592.0,2147483648.0
