seed,R,C,M,epsilon
34753.0,1.0,10.0,20.0,3.2978855660069413
34753.0,4.0,10.0,20.0,3.2979664151414814
34753.0,16.0,10.0,20.0,2.670299522558823
34753.0,64.0,10.0,20.0,0.7114662549979474
34753.0,256.0,10.0,20.0,0.3802976056219855
34753.0,1024.0,10.0,20.0,0.2935971647688888
34753.0,4096.0,10.0,20.0,0.2016938830172621
932.0,1.0,10.0,20.0,2.397129404656236
932.0,4.0,10.0,20.0,1.881705004134712
932.0,16.0,10.0,20.0,2.1306292486735527
932.0,64.0,10.0,20.0,0.8919001765275095
932.0,256.0,10.0,20.0,0.5849884671884664
932.0,1024.0,10.0,20.0,0.4196992560886296
932.0,4096.0,10.0,20.0,0.4127271602418076
61325.0,1.0,10.0,20.0,3.5336006293190256
61325.0,4.0,10.0,20.0,1.9951450792591088
61325.0,16.0,10.0,20.0,1.549599772491527
61325.0,64.0,10.0,20.0,0.8563304998805782
61325.0,256.0,10.0,20.0,0.4820449393944636
61325.0,1024.0,10.0,20.0,0.8026463902183609
61325.0,4096.0,10.0,20.0,0.6793924167319186
85987.0,1.0,10.0,20.0,2.624214143338859
85987.0,4.0,10.0,20.0,3.1563310451156354
85987.0,16.0,10.0,20.0,2.7173302723458668
85987.0,64.0,10.0,20.0,1.8295774055043643
85987.0,256.0,10.0,20.0,0.7167885276549697
85987.0,1024.0,10.0,20.0,0.24651943244662
85987.0,4096.0,10.0,20.0,0.2227416809288982
53492.0,1.0,10.0,20.0,3.42270985082972
53492.0,4.0,10.0,20.0,2.892743496662286
53492.0,16.0,10.0,20.0,1.3524974458411356
53492.0,64.0,10.0,20.0,0.9968610806894032
53492.0,256.0,10.0,20.0,0.9187683716891142
53492.0,1024.0,10.0,20.0,0.2892397321216968
53492.0,4096.0,10.0,20.0,0.1835429854834789
50778.0,1.0,10.0,20.0,2.942627526969221
50778.0,4.0,10.0,20.0,1.1552685559487756
50778.0,16.0,10.0,20.0,1.115652964631993
50778.0,64.0,10.0,20.0,0.7060905707586619
50778.0,256.0,10.0,20.0,0.6037552140980043
50778.0,1024.0,10.0,20.0,0.4428362720543686
50778.0,4096.0,10.0,20.0,0.14337289319915
48598.0,1.0,10.0,20.0,2.9035838470165847
48598.0,4.0,10.0,20.0,2.903361953520472
48598.0,16.0,10.0,20.0,2.7303320199069745
48598.0,64.0,10.0,20.0,0.811138663951664
48598.0,256.0,10.0,20.0,0.4650560570812336
48598.0,1024.0,10.0,20.0,0.3991056910051584
48598.0,4096.0,10.0,20.0,0.1520674933462453
61723.0,1.0,10.0,20.0,2.1068204540851205
61723.0,4.0,10.0,20.0,2.1070244051276013
61723.0,16.0,10.0,20.0,1.2019213988505766
61723.0,64.0,10.0,20.0,0.6610541174897793
61723.0,256.0,10.0,20.0,0.9409306388374236
61723.0,1024.0,10.0,20.0,0.5192419803205199
61723.0,4096.0,10.0,20.0,0.3147375106942105
97134.0,1.0,10.0,20.0,2.042205897407734
97134.0,4.0,10.0,20.0,2.8884150341709063
97134.0,16.0,10.0,20.0,1.8455330623061847
97134.0,64.0,10.0,20.0,0.854726526515472
97134.0,256.0,10.0,20.0,1.1941275162350655
97134.0,1024.0,10.0,20.0,0.4285426623827155
97134.0,4096.0,10.0,20.0,0.207804106149263
54509.0,1.0,10.0,20.0,5.106631169835451
54509.0,4.0,10.0,20.0,4.965084674159789
54509.0,16.0,10.0,20.0,3.5500270094416617
54509.0,64.0,10.0,20.0,1.982056186772708
54509.0,256.0,10.0,20.0,0.49300553401621
54509.0,1024.0,10.0,20.0,0.2184591330779894
54509.0,4096.0,10.0,20.0,0.1541062296769524
34753.0,1.0,1000.0,20.0,6.199797537291148
34753.0,4.0,1000.0,20.0,6.199507691072645
34753.0,16.0,1000.0,20.0,5.70321021670865
34753.0,64.0,1000.0,20.0,1.8040273076077
34753.0,256.0,1000.0,20.0,1.4803537726029337
34753.0,1024.0,1000.0,20.0,2.0106932070993686
34753.0,4096.0,1000.0,20.0,0.8525598827331518
932.0,1.0,1000.0,20.0,6.481252384599319
932.0,4.0,1000.0,20.0,6.727264098261243
932.0,16.0,1000.0,20.0,13.66210635700894
932.0,64.0,1000.0,20.0,3.36800360951336
932.0,256.0,1000.0,20.0,2.739872913263924
932.0,1024.0,1000.0,20.0,3.1335096192412
932.0,4096.0,1000.0,20.0,1.3905588466872474
61325.0,1.0,1000.0,20.0,7.719931989892171
61325.0,4.0,1000.0,20.0,7.720238087591901
61325.0,16.0,1000.0,20.0,7.427733761847921
61325.0,64.0,1000.0,20.0,6.55181403279758
61325.0,256.0,1000.0,20.0,3.813547611516447
61325.0,1024.0,1000.0,20.0,3.1656656076674343
61325.0,4096.0,1000.0,20.0,3.1654200200995675
85987.0,1.0,1000.0,20.0,6.993097812218004
85987.0,4.0,1000.0,20.0,7.272020434445582
85987.0,16.0,1000.0,20.0,7.668084888994379
85987.0,64.0,1000.0,20.0,7.667597286122234
85987.0,256.0,1000.0,20.0,7.66790317986888
85987.0,1024.0,1000.0,20.0,5.316700915917917
85987.0,4096.0,1000.0,20.0,6.76778128490904
53492.0,1.0,1000.0,20.0,4.399056031203629
53492.0,4.0,1000.0,20.0,3.869089677036195
53492.0,16.0,1000.0,20.0,2.265575502592542
53492.0,64.0,1000.0,20.0,0.9342137262279132
53492.0,256.0,1000.0,20.0,0.9665285551214642
53492.0,1024.0,1000.0,20.0,0.5112483574958642
53492.0,4096.0,1000.0,20.0,0.4420463434870294
50778.0,1.0,1000.0,20.0,2.205818124519712
50778.0,4.0,1000.0,20.0,1.8745903749121635
50778.0,16.0,1000.0,20.0,1.3074005667331992
50778.0,64.0,1000.0,20.0,1.8745376996335408
50778.0,256.0,1000.0,20.0,1.819705434701741
50778.0,1024.0,1000.0,20.0,1.2193775968264189
50778.0,4096.0,1000.0,20.0,0.4223496336851156
48598.0,1.0,1000.0,20.0,15.136006494793993
48598.0,4.0,1000.0,20.0,15.1357561669232
48598.0,16.0,1000.0,20.0,15.135992908086124
48598.0,64.0,1000.0,20.0,13.44676066594701
48598.0,256.0,1000.0,20.0,12.371880992302504
48598.0,1024.0,1000.0,20.0,14.49611474473848
48598.0,4096.0,1000.0,20.0,12.80983035214205
61723.0,1.0,1000.0,20.0,5.021686716393075
61723.0,4.0,1000.0,20.0,8.228708818581744
61723.0,16.0,1000.0,20.0,5.260364453529609
61723.0,64.0,1000.0,20.0,6.006584704122807
61723.0,256.0,1000.0,20.0,5.425778299782857
61723.0,1024.0,1000.0,20.0,6.040902120187877
61723.0,4096.0,1000.0,20.0,5.277283513336945
97134.0,1.0,1000.0,20.0,6.50130906690062
97134.0,4.0,1000.0,20.0,7.347577526349434
97134.0,16.0,1000.0,20.0,6.3085921901576425
97134.0,64.0,1000.0,20.0,1.4889724914301423
97134.0,256.0,1000.0,20.0,4.030354304593288
97134.0,1024.0,1000.0,20.0,2.982138558579588
97134.0,4096.0,1000.0,20.0,0.4597801307205929
54509.0,1.0,1000.0,20.0,8.803990777507229
54509.0,4.0,1000.0,20.0,8.662444281831576
54509.0,16.0,1000.0,20.0,6.618576751488752
54509.0,64.0,1000.0,20.0,3.606039765007761
54509.0,256.0,1000.0,20.0,1.3457975145237864
54509.0,1024.0,1000.0,20.0,0.4958089778566226
