seed,R,C,M,epsilon
34753.0,2.0,10.0,4.0,0.0004253662502164
34753.0,64.0,10.0,4.0,0.0005911938179645
34753.0,2048.0,10.0,4.0,0.0004247817442222
932.0,2.0,10.0,4.0,1.000304751299987
932.0,64.0,10.0,4.0,0.0355434609056501
932.0,2048.0,10.0,4.0,0.0006010310763449
61325.0,2.0,10.0,4.0,0.9996217850896372
61325.0,64.0,10.0,4.0,0.0891680444192367
61325.0,2048.0,10.0,4.0,0.0885208412443968
85987.0,2.0,10.0,4.0,0.0004664853096214
85987.0,64.0,10.0,4.0,0.0006989702354198
85987.0,2048.0,10.0,4.0,0.0009096754170228
53492.0,2.0,10.0,4.0,0.0003269707678048
53492.0,64.0,10.0,4.0,0.0006465723977373
53492.0,2048.0,10.0,4.0,0.0002374079153915
50778.0,2.0,10.0,4.0,1.423830269769644
50778.0,64.0,10.0,4.0,0.0005561730510327
50778.0,2048.0,10.0,4.0,0.000788169487072
48598.0,2.0,10.0,4.0,0.0685210188221765
48598.0,64.0,10.0,4.0,0.0684550212507957
48598.0,2048.0,10.0,4.0,0.0054747702571482
61723.0,2.0,10.0,4.0,0.1101476874550457
61723.0,64.0,10.0,4.0,0.0862826042700324
61723.0,2048.0,10.0,4.0,0.0135925234853804
97134.0,2.0,10.0,4.0,0.0001479738875284
97134.0,64.0,10.0,4.0,0.0009234800582201
97134.0,2048.0,10.0,4.0,0.0001937273654941
54509.0,2.0,10.0,4.0,0.0128149742327206
54509.0,64.0,10.0,4.0,0.0129092975181417
54509.0,2048.0,10.0,4.0,0.0141164101596913
34753.0,2.0,10.0,10.0,1.260967583167132
34753.0,64.0,10.0,10.0,0.3101850089749058
34753.0,2048.0,10.0,10.0,0.1092013771609136
932.0,2.0,10.0,10.0,0.4960027458559204
932.0,64.0,10.0,10.0,0.2130110451464784
932.0,2048.0,10.0,10.0,0.0582751823405081
61325.0,2.0,10.0,10.0,1.0107175793286682
61325.0,64.0,10.0,10.0,0.6491283289200591
61325.0,2048.0,10.0,10.0,0.2055409920904469
85987.0,2.0,10.0,10.0,1.971863558955726
85987.0,64.0,10.0,10.0,0.5828373371286486
85987.0,2048.0,10.0,10.0,0.1422216785511518
53492.0,2.0,10.0,10.0,1.8126692973515424
53492.0,64.0,10.0,10.0,0.9071182461916304
53492.0,2048.0,10.0,10.0,0.1191249877388149
50778.0,2.0,10.0,10.0,1.408236997982194
50778.0,64.0,10.0,10.0,0.1531260368000369
50778.0,2048.0,10.0,10.0,0.1524646198632675
48598.0,2.0,10.0,10.0,0.2535906672757568
48598.0,64.0,10.0,10.0,0.0617516722342139
48598.0,2048.0,10.0,10.0,0.0139339141985699
61723.0,2.0,10.0,10.0,0.7282895924035083
61723.0,64.0,10.0,10.0,0.2047420264494894
