M,seed,0.001,0.005,0.01,0.05,0.1
16.0,102.0,28804254.0,713873.0,157670.0,5011.0,1133.0
16.0,435.0,22486009.0,714066.0,148659.0,4283.0,1235.0
16.0,860.0,20139284.0,679814.0,146543.0,4769.0,1037.0
32.0,102.0,23661106.0,868108.0,213323.0,9660.0,2252.0
32.0,435.0,22474727.0,1191657.0,196003.0,8519.0,2136.0
32.0,860.0,40176302.0,793686.0,218241.0,9234.0,2287.0
64.0,102.0,68955628.0,1997279.0,506831.0,19450.0,5011.0
64.0,435.0,72111858.0,1938137.0,481218.0,19797.0,5397.0
64.0,860.0,48720063.0,2360493.0,538903.0,18381.0,4525.0
128.0,102.0,105135968.0,4055018.0,956070.0,35310.0,8792.0
128.0,435.0,90530176.0,5383017.0,946861.0,37742.0,9339.0
128.0,860.0,81441609.0,3667410.0,979825.0,39869.0,10079.0
