M,seed,0.001,0.005,0.01,0.05,0.1
16.0,102.0,151064059.0,7675645.0,1940273.0,78393.0,19817.0
16.0,435.0,108885853.0,3498172.0,884279.0,35728.0,11358.0
16.0,860.0,474212763.0,12114372.0,2435044.0,98383.0,24870.0
16.0,270.0,289862392.0,23293226.0,5888132.0,237898.0,60137.0
16.0,106.0,185727201.0,5966851.0,1508319.0,60941.0,15405.0
16.0,71.0,1935646982.0,39319844.0,9939388.0,401580.0,101513.0
16.0,700.0,473627067.0,38060481.0,7650329.0,388718.0,98262.0
16.0,20.0,333289622.0,6770293.0,1711415.0,69146.0,17479.0
16.0,614.0,230116771.0,14704289.0,3716995.0,188863.0,47742.0
16.0,121.0,180284808.0,14487615.0,3662223.0,147965.0,29742.0
32.0,102.0,459407602.0,16341719.0,3911474.0,176577.0,42265.0
32.0,435.0,508063502.0,22935618.0,4325739.0,153873.0,36831.0
32.0,860.0,1993229718.0,27332878.0,8302730.0,295339.0,70691.0
32.0,270.0,787385683.0,28008321.0,6703935.0,302638.0,72438.0
32.0,106.0,1336371749.0,47536461.0,11378094.0,404734.0,96876.0
32.0,71.0,540737330.0,24410620.0,5842806.0,207837.0,49747.0
32.0,700.0,443848712.0,20036756.0,4795900.0,170597.0,51821.0
32.0,20.0,936397360.0,20681116.0,6282168.0,223465.0,53488.0
32.0,614.0,220225949.0,12616934.0,3019928.0,107423.0,25713.0
32.0,121.0,780151261.0,21866813.0,6642339.0,236277.0,56554.0
64.0,102.0,2272569331.0,69301295.0,17156593.0,523185.0,129523.0
64.0,435.0,5580636994.0,84674536.0,20962473.0,806712.0,199714.0
64.0,860.0,2052589429.0,125800236.0,31143767.0,1198525.0,296714.0
64.0,270.0,5407697485.0,130672704.0,25634382.0,986504.0,244225.0
64.0,106.0,1536305553.0,59122601.0,14636702.0,563274.0,175979.0
64.0,71.0,12724877718.0,152992785.0,37875697.0,1457594.0,360850.0
64.0,700.0,2261304516.0,138592082.0,34310584.0,1320396.0,326885.0
64.0,20.0,4945707159.0,150817802.0,37337247.0,1813302.0,448911.0
64.0,614.0,4970607002.0,151577115.0,29735251.0,1144321.0,283294.0
64.0,121.0,4608657458.0,111364538.0,27569990.0,1060994.0,262666.0
128.0,102.0,7469798774.0,145664991.0,36294608.0,1417898.0,353291.0
128.0,435.0,3591569539.0,222976003.0,55557802.0,2170441.0,540798.0
128.0,860.0,8611637223.0,167931439.0,41842626.0,1634639.0,407295.0
128.0,270.0,3523309618.0,86612905.0,21580899.0,843087.0,210068.0
128.0,106.0,18412698427.0,284825068.0,70968420.0,2199290.0,547986.0
128.0,71.0,3477254111.0,135843621.0,33847467.0,1666920.0,415338.0
128.0,700.0,11235662629.0,173803877.0,43305832.0,1691801.0,421538.0
128.0,20.0,3795447667.0,93302827.0,23247793.0,908207.0,226294.0
128.0,614.0,3705479760.0,230047910.0,72258797.0,3558600.0,886679.0
128.0,121.0,4157485424.0,162417775.0,40468815.0,1993007.0,626010.0
256.0,102.0,9638948802.0,371402665.0,91995350.0,3544715.0,878016.0
256.0,435.0,15533387897.0,1202599721.0,297880422.0,3587496.0,888613.0
256.0,860.0,4601708427.0,356265698.0,88245968.0,3400245.0,842231.0
256.0,270.0,8013779264.0,153678513.0,38065717.0,1850813.0,458441.0
256.0,106.0,7698162143.0,186284198.0,36566525.0,1777921.0,440386.0
256.0,71.0,11484904574.0,174537992.0,43232549.0,2102033.0,520668.0
256.0,700.0,60156328329.0,1153604902.0,285744549.0,11010152.0,2727183.0
256.0,20.0,6212141983.0,150324697.0,59289471.0,1810422.0,448437.0
256.0,614.0,9535859072.0,144918025.0,35895770.0,1383117.0,342594.0
256.0,121.0,4872216060.0,148774566.0,29203598.0,1419924.0,351711.0
512.0,102.0,194356689852.0,30325839365.0,11978970582.0,28599790.0,3537756.0
512.0,435.0,3948355030599.0,30102405715.0,7473279189.0,28389074.0,1099701.0
512.0,860.0,76092084183.0,1852533851.0,289054337.0,4422925.0,870505.0
512.0,270.0,29420254757.0,1437533919.0,356884843.0,10959813.0,2720904.0
512.0,106.0,74727894457.0,906492927.0,283872129.0,8717617.0,3443535.0
512.0,71.0,95786211701.0,578948153.0,143730745.0,8858694.0,2774138.0
512.0,700.0,75054231151.0,1148431741.0,453640537.0,22165806.0,1723265.0
512.0,20.0,45728285883.0,5656527797.0,1404300104.0,6728966.0,659880.0
512.0,614.0,29768204804.0,1454535471.0,724735138.0,5525408.0,2182585.0
512.0,121.0,46674397826.0,1808015138.0,448861199.0,13784375.0,849586.0
