seed,R,C,M,train acc,epsilon,evaluations
34753.0,8.0,10.0,100.0,0.83,0.0665561080674921,80249.0
34753.0,16.0,10.0,100.0,0.84,0.0505963285289822,79247.0
34753.0,32.0,10.0,100.0,0.88,0.0378310523215398,80712.0
34753.0,64.0,10.0,100.0,0.86,0.0395299398798324,80357.0
34753.0,128.0,10.0,100.0,0.84,0.030250436017691,82307.0
34753.0,256.0,10.0,100.0,0.83,0.0199622627803695,81494.0
34753.0,512.0,10.0,100.0,0.85,0.0113187068030947,81600.0
34753.0,1024.0,10.0,100.0,0.84,0.0070229617485104,81562.0
34753.0,2048.0,10.0,100.0,0.84,0.0094786045466657,82353.0
34753.0,4096.0,10.0,100.0,0.83,0.0093661872703337,82323.0
932.0,8.0,10.0,100.0,0.81,0.0741816773249569,77487.0
932.0,16.0,10.0,100.0,0.86,0.0500098337338987,78949.0
932.0,32.0,10.0,100.0,0.85,0.0582959678606467,78387.0
932.0,64.0,10.0,100.0,0.86,0.0492467415289755,79015.0
932.0,128.0,10.0,100.0,0.87,0.0262831544947294,80860.0
932.0,256.0,10.0,100.0,0.87,0.0198697071288452,81079.0
932.0,512.0,10.0,100.0,0.86,0.0188450141360296,81376.0
932.0,1024.0,10.0,100.0,0.86,0.0119638226478619,81507.0
932.0,2048.0,10.0,100.0,0.86,0.0131135513073608,81572.0
932.0,4096.0,10.0,100.0,0.86,0.0048544640111684,80386.0
61325.0,8.0,10.0,100.0,0.79,0.082414406600843,80148.0
61325.0,16.0,10.0,100.0,0.8,0.0624321997180839,80508.0
61325.0,32.0,10.0,100.0,0.83,0.0630376548883299,81195.0
61325.0,64.0,10.0,100.0,0.82,0.0340218176261778,82652.0
61325.0,128.0,10.0,100.0,0.82,0.0317245483556242,82037.0
61325.0,256.0,10.0,100.0,0.83,0.0251381544732181,83319.0
61325.0,512.0,10.0,100.0,0.82,0.0144404027405384,83740.0
61325.0,1024.0,10.0,100.0,0.82,0.0185721350589459,83305.0
61325.0,2048.0,10.0,100.0,0.82,0.013925389966542,82911.0
61325.0,4096.0,10.0,100.0,0.82,0.0126590918388843,83195.0
85987.0,8.0,10.0,100.0,0.82,0.1137555717018665,80136.0
85987.0,16.0,10.0,100.0,0.83,0.0710515683342704,82545.0
85987.0,32.0,10.0,100.0,0.83,0.0976952993237737,81590.0
85987.0,64.0,10.0,100.0,0.83,0.0538712237574518,82610.0
85987.0,128.0,10.0,100.0,0.82,0.0281421292253508,81815.0
85987.0,256.0,10.0,100.0,0.83,0.0173036162876289,81654.0
85987.0,512.0,10.0,100.0,0.82,0.0183841886872755,81534.0
85987.0,1024.0,10.0,100.0,0.83,0.0133735672067025,81654.0
85987.0,2048.0,10.0,100.0,0.82,0.010302341246611,81156.0
85987.0,4096.0,10.0,100.0,0.82,0.0070195136074389,81156.0
53492.0,8.0,10.0,100.0,0.78,0.0521976075403348,78541.0
53492.0,16.0,10.0,100.0,0.78,0.0766118447867435,76694.0
53492.0,32.0,10.0,100.0,0.78,0.0434223044171267,80750.0
53492.0,64.0,10.0,100.0,0.81,0.0476177801372159,80640.0
53492.0,128.0,10.0,100.0,0.83,0.0422073239217375,79825.0
53492.0,256.0,10.0,100.0,0.83,0.0253678072997263,78371.0
53492.0,512.0,10.0,100.0,0.83,0.0132023093233407,78265.0
53492.0,1024.0,10.0,100.0,0.83,0.021648823693757,78580.0
53492.0,2048.0,10.0,100.0,0.83,0.0134747752019997,78227.0
53492.0,4096.0,10.0,100.0,0.83,0.0097822689621661,78227.0
50778.0,8.0,10.0,100.0,0.82,0.0969003915422848,80568.0
50778.0,16.0,10.0,100.0,0.83,0.0570318744273198,81312.0
50778.0,32.0,10.0,100.0,0.84,0.0488061988092331,81117.0
50778.0,64.0,10.0,100.0,0.82,0.0633440264160352,81313.0
50778.0,128.0,10.0,100.0,0.84,0.0244112154430385,82546.0
50778.0,256.0,10.0,100.0,0.83,0.0356932179865156,83047.0
50778.0,512.0,10.0,100.0,0.84,0.0147562263240575,83260.0
50778.0,1024.0,10.0,100.0,0.83,0.0115497205413052,83052.0
50778.0,2048.0,10.0,100.0,0.83,0.0091919169865905,82939.0
50778.0,4096.0,10.0,100.0,0.83,0.0110607362664426,83374.0
48598.0,8.0,10.0,100.0,0.85,0.0551896017903001,84932.0
48598.0,16.0,10.0,100.0,0.82,0.0592295822953782,83283.0
48598.0,32.0,10.0,100.0,0.83,0.0806016042882022,83786.0
48598.0,64.0,10.0,100.0,0.84,0.0480105239098636,82239.0
48598.0,128.0,10.0,100.0,0.84,0.0508478129049592,82187.0
48598.0,256.0,10.0,100.0,0.85,0.0153962803469439,82157.0
48598.0,512.0,10.0,100.0,0.84,0.0093019739984281,82222.0
48598.0,1024.0,10.0,100.0,0.84,0.0079829208032772,82106.0
48598.0,2048.0,10.0,100.0,0.84,0.0101268200990681,82807.0
48598.0,4096.0,10.0,100.0,0.84,0.009116617754642,82824.0
61723.0,8.0,10.0,100.0,0.85,0.0539862796960793,78103.0
61723.0,16.0,10.0,100.0,0.83,0.0349126379156991,80196.0
61723.0,32.0,10.0,100.0,0.82,0.0252375085620659,80196.0
61723.0,64.0,10.0,100.0,0.84,0.0569392244747665,81858.0
61723.0,128.0,10.0,100.0,0.84,0.026387905441615,80763.0
61723.0,256.0,10.0,100.0,0.84,0.01456461327928,81345.0
61723.0,512.0,10.0,100.0,0.84,0.0193463309212848,80554.0
61723.0,1024.0,10.0,100.0,0.84,0.0143984511027648,80420.0
61723.0,2048.0,10.0,100.0,0.84,0.0134023789161624,80502.0
61723.0,4096.0,10.0,100.0,0.84,0.0132028820114723,80502.0
97134.0,8.0,10.0,100.0,0.86,0.1119289450877927,78025.0
97134.0,16.0,10.0,100.0,0.84,0.051166550466068,80947.0
97134.0,32.0,10.0,100.0,0.84,0.0430258674945681,80555.0
97134.0,64.0,10.0,100.0,0.83,0.0424564241778937,80035.0
97134.0,128.0,10.0,100.0,0.83,0.0266422343136361,81315.0
97134.0,256.0,10.0,100.0,0.83,0.0184542415883951,78975.0
97134.0,512.0,10.0,100.0,0.85,0.0194235765252287,78412.0
97134.0,1024.0,10.0,100.0,0.83,0.0150914438530087,78482.0
97134.0,2048.0,10.0,100.0,0.84,0.0091397390902888,80266.0
97134.0,4096.0,10.0,100.0,0.83,0.0094900321798756,79953.0
54509.0,8.0,10.0,100.0,0.83,0.0626630810954949,79338.0
54509.0,16.0,10.0,100.0,0.84,0.0415649458733385,77149.0
54509.0,32.0,10.0,100.0,0.84,0.0478518164821152,79684.0
54509.0,64.0,10.0,100.0,0.83,0.032091289663567,81525.0
54509.0,128.0,10.0,100.0,0.84,0.0252021153875087,80616.0
54509.0,256.0,10.0,100.0,0.84,0.0257075419375892,81049.0
54509.0,512.0,10.0,100.0,0.83,0.0218329379245104,80270.0
54509.0,1024.0,10.0,100.0,0.83,0.0115121876254944,81188.0
54509.0,2048.0,10.0,100.0,0.83,0.0105110195838026,81230.0
54509.0,4096.0,10.0,100.0,0.83,0.0075474606675329,81540.0
27065.0,8.0,10.0,100.0,0.84,0.0853801826804592,80477.0
27065.0,16.0,10.0,100.0,0.83,0.0587250844980774,81150.0
27065.0,32.0,10.0,100.0,0.83,0.0518991519017469,81972.0
27065.0,64.0,10.0,100.0,0.84,0.0333438879441186,80599.0
27065.0,128.0,10.0,100.0,0.84,0.0354357007174647,82289.0
27065.0,256.0,10.0,100.0,0.83,0.0160483904417268,82082.0
27065.0,512.0,10.0,100.0,0.83,0.0174916613500519,82605.0
27065.0,1024.0,10.0,100.0,0.83,0.02055186813723,82361.0
27065.0,2048.0,10.0,100.0,0.83,0.0131585868551944,81640.0
27065.0,4096.0,10.0,100.0,0.83,0.0096157394587234,82347.0
6820.0,8.0,10.0,100.0,0.82,0.0650152712113159,79617.0
6820.0,16.0,10.0,100.0,0.83,0.0503713922374167,79546.0
6820.0,32.0,10.0,100.0,0.83,0.0592269230707487,81213.0
6820.0,64.0,10.0,100.0,0.84,0.0455919376271883,79138.0
6820.0,128.0,10.0,100.0,0.84,0.033260406154842,80297.0
6820.0,256.0,10.0,100.0,0.84,0.0166363970232738,79977.0
6820.0,512.0,10.0,100.0,0.83,0.015065562234153,79082.0
6820.0,1024.0,10.0,100.0,0.84,0.015960599293187,79224.0
6820.0,2048.0,10.0,100.0,0.83,0.0153800935111593,79925.0
6820.0,4096.0,10.0,100.0,0.83,0.0109787195574234,79626.0
67783.0,8.0,10.0,100.0,0.85,0.0513037337329802,83516.0
67783.0,16.0,10.0,100.0,0.87,0.0359980870817364,82480.0
67783.0,32.0,10.0,100.0,0.85,0.0249421382974216,82836.0
67783.0,64.0,10.0,100.0,0.83,0.0100148258666288,82847.0
67783.0,128.0,10.0,100.0,0.82,0.026222456480687,81872.0
67783.0,256.0,10.0,100.0,0.83,0.0167415223052047,81129.0
67783.0,512.0,10.0,100.0,0.84,0.0109041010768694,80861.0
67783.0,1024.0,10.0,100.0,0.84,0.0249693290791853,80037.0
67783.0,2048.0,10.0,100.0,0.85,0.012643987891237,80037.0
67783.0,4096.0,10.0,100.0,0.85,0.012679144299063,80037.0
76785.0,8.0,10.0,100.0,0.82,0.0417872653683506,76559.0
76785.0,16.0,10.0,100.0,0.82,0.0553590925347134,76228.0
76785.0,32.0,10.0,100.0,0.83,0.05084719943369,77130.0
76785.0,64.0,10.0,100.0,0.84,0.0309788931246312,78047.0
76785.0,128.0,10.0,100.0,0.82,0.0208680831816629,76244.0
76785.0,256.0,10.0,100.0,0.82,0.0246856540419906,78124.0
76785.0,512.0,10.0,100.0,0.82,0.0198012360635301,78083.0
76785.0,1024.0,10.0,100.0,0.83,0.0157288643896551,77254.0
76785.0,2048.0,10.0,100.0,0.83,0.0104046937786216,77254.0
76785.0,4096.0,10.0,100.0,0.83,0.0041241950627367,77689.0
27733.0,8.0,10.0,100.0,0.86,0.0495625422715589,77758.0
27733.0,16.0,10.0,100.0,0.86,0.0338043973364312,78326.0
27733.0,32.0,10.0,100.0,0.85,0.0244908977293859,79105.0
27733.0,64.0,10.0,100.0,0.85,0.0330081447152789,78888.0
27733.0,128.0,10.0,100.0,0.84,0.0235026451022796,80247.0
27733.0,256.0,10.0,100.0,0.85,0.0373425626597001,79420.0
27733.0,512.0,10.0,100.0,0.85,0.0351528773919234,78823.0
27733.0,1024.0,10.0,100.0,0.85,0.0186313039714198,79048.0
27733.0,2048.0,10.0,100.0,0.85,0.0096961798559426,79128.0
27733.0,4096.0,10.0,100.0,0.85,0.0123757267964011,79128.0
64343.0,8.0,10.0,100.0,0.81,0.0742016196692801,81066.0
64343.0,16.0,10.0,100.0,0.8,0.0705156203039461,83166.0
64343.0,32.0,10.0,100.0,0.82,0.0779271048075708,83181.0
64343.0,64.0,10.0,100.0,0.82,0.0730760099591442,82101.0
64343.0,128.0,10.0,100.0,0.83,0.0319571289002537,83023.0
64343.0,256.0,10.0,100.0,0.83,0.0290468915352611,83624.0
64343.0,512.0,10.0,100.0,0.83,0.0202244518077311,82849.0
64343.0,1024.0,10.0,100.0,0.83,0.0130999615206131,84294.0
