seed,R,C,M,train acc,test acc,epsilon,evaluations
87453.0,1.0,10.0,100.0,0.985,,1.0099479612904707,85150.0
87453.0,4.0,10.0,100.0,0.992,,0.3289524145515086,79310.0
87453.0,8.0,10.0,100.0,0.992,,0.1226998613347341,73653.0
87453.0,64.0,10.0,100.0,0.993,,0.0855810291357912,72712.0
87453.0,256.0,10.0,100.0,0.994,,0.0187975157707951,74222.0
87453.0,512.0,10.0,100.0,0.994,,0.0133841711834502,74676.0
87453.0,1024.0,10.0,100.0,0.994,,0.0110459108309827,74937.0
87453.0,2048.0,10.0,100.0,0.994,,0.022932220962489,75111.0
87453.0,4096.0,10.0,100.0,0.993,,0.0038777126986462,73665.0
30633.0,1.0,10.0,100.0,0.982,,1.0006170526555007,84812.0
30633.0,4.0,10.0,100.0,0.992,,0.3245583616909417,80864.0
30633.0,8.0,10.0,100.0,0.992,,0.1413052364632377,77521.0
30633.0,64.0,10.0,100.0,0.992,,0.1087202614268503,69439.0
30633.0,256.0,10.0,100.0,0.993,,0.0243631969242296,72102.0
30633.0,512.0,10.0,100.0,0.993,,0.0139398300058811,72149.0
30633.0,1024.0,10.0,100.0,0.994,,0.009725092814147,72542.0
30633.0,2048.0,10.0,100.0,0.994,,0.020654288914263,72987.0
30633.0,4096.0,10.0,100.0,0.992,,0.0091523672162626,70994.0
38630.0,1.0,10.0,100.0,0.986,,0.9442798132502868,84706.0
38630.0,4.0,10.0,100.0,0.991,,0.3853744007359859,78137.0
38630.0,8.0,10.0,100.0,0.993,,0.1826112648941906,73387.0
38630.0,64.0,10.0,100.0,0.992,,0.1141206769648615,68660.0
38630.0,256.0,10.0,100.0,0.992,,0.027048385196972,69637.0
38630.0,512.0,10.0,100.0,0.992,,0.0161284487872436,68672.0
38630.0,1024.0,10.0,100.0,0.992,,0.010114694431499,71711.0
38630.0,2048.0,10.0,100.0,0.992,,0.0185155441953461,70987.0
38630.0,4096.0,10.0,100.0,0.992,,0.0095567215483994,70645.0
36003.0,1.0,10.0,100.0,0.985,,1.0614802209508396,82739.0
36003.0,4.0,10.0,100.0,0.992,,0.346455479187652,76297.0
36003.0,8.0,10.0,100.0,0.991,,0.1553937626128285,72270.0
36003.0,64.0,10.0,100.0,0.992,,0.1120058229802063,65638.0
36003.0,256.0,10.0,100.0,0.992,,0.031161727074539,68121.0
36003.0,512.0,10.0,100.0,0.992,,0.0162386059667201,67273.0
36003.0,1024.0,10.0,100.0,0.992,,0.0161683773495387,69629.0
36003.0,2048.0,10.0,100.0,0.992,,0.0172072151781773,69486.0
36003.0,4096.0,10.0,100.0,0.992,,0.004031538178161,67678.0
18080.0,1.0,10.0,100.0,0.984,,0.9501175607807044,87354.0
18080.0,4.0,10.0,100.0,0.992,,0.3055673783197405,78394.0
18080.0,8.0,10.0,100.0,0.992,,0.1420077538902093,71869.0
18080.0,64.0,10.0,100.0,0.992,,0.1045606018465185,65528.0
18080.0,256.0,10.0,100.0,0.992,,0.0300482143530113,69000.0
18080.0,512.0,10.0,100.0,0.992,,0.0234753974906482,68276.0
18080.0,1024.0,10.0,100.0,0.992,,0.0110952136535053,70187.0
18080.0,2048.0,10.0,100.0,0.992,,0.02005339021218,69494.0
18080.0,4096.0,10.0,100.0,0.992,,0.0082051635278405,69803.0
51116.0,1.0,10.0,100.0,0.981,,0.9465969906307004,85530.0
51116.0,4.0,10.0,100.0,0.991,,0.3039530306791843,77215.0
51116.0,8.0,10.0,100.0,0.991,,0.1065831081215564,74445.0
51116.0,64.0,10.0,100.0,0.992,,0.0958928248219328,67082.0
51116.0,256.0,10.0,100.0,0.992,,0.0177851384398905,69997.0
51116.0,512.0,10.0,100.0,0.992,,0.015016663930114,70866.0
51116.0,1024.0,10.0,100.0,0.992,,0.0115764072515598,70103.0
51116.0,2048.0,10.0,100.0,0.992,,0.0142389940003976,70384.0
51116.0,4096.0,10.0,100.0,0.992,,0.0114178143727031,70723.0
62549.0,1.0,10.0,100.0,0.983,,0.9501303100471375,84378.0
62549.0,4.0,10.0,100.0,0.992,,0.2960160451429542,81688.0
62549.0,8.0,10.0,100.0,0.992,,0.1135137601194564,76073.0
62549.0,64.0,10.0,100.0,0.992,,0.093022236703192,70312.0
62549.0,256.0,10.0,100.0,0.992,,0.01897258593314,70601.0
62549.0,512.0,10.0,100.0,0.992,,0.0139873985555243,71517.0
